Method,RMSE,rRMSE,AUROC,AUPRC,iter,minRank
Pois. N-mix,24.1612376241168,3.574824125131,0.758390022675737,0.668261787489723,1.3,5
Pois. NMF,23.9120642132336,3.21761248079935,0.682936507936508,0.657020159547736,31.9,15
IFMF,32.3000597766377,5.94403048984827,0.649829931972789,0.563594702953901,2,2
MC-CF,31.0393675299934,4.51184741190399,0.654081632653061,0.584158126901609,1.6,5
Trunc. SVD,37.3871616091322,6.61277522565984,0.451473922902494,0.430549436932416,1,2
