Method,RMSE,rRMSE,AUROC,AUPRC,Iter,minRank
Pois. N-mix,28.0781191760649,3.69418838854132,0.758860265417642,0.680917823299561,1.1,5
Pois. NMF,31.1237446881994,4.09489594064701,0.707474629195941,0.64448968610752,5.2,2
IFMF,37.4916783779566,4.93271369290427,0.63879781420765,0.575365731501335,1.8,2
MC-CF,37.0461137888864,4.87409154941357,0.665183450429352,0.623401720761956,2,5
Trunc. SVD,40.5503477713153,5.33513740535024,0.461904761904762,0.443320433179252,1,5
