Method,RMSE,rRMSE,AUROC,AUPRC,iter,minRank
Pois. N-mix,21.9190943456192,2.63650401443639,0.609098639455782,0.537503422492723,1.7,10
Pois. NMF,19.3305598102745,2.44346919806811,0.612131519274376,0.420491451238314,42.1,10
IFMF,24.2619032131112,2.98538078325603,0.585034013605442,0.506387966376964,4.6,10
MC-CF,22.147672181589,2.8769218020121,0.634807256235828,0.552749280516927,15.4,15
Trunc. SVD,37.3871616091322,6.61277522565984,0.451473922902494,0.430549436932416,1,2
