Method,RMSE,rRMSE,AUROC,AUPRC,iter,minRank
Pois. N-mix,22.8091666843663,3.09948526460134,0.769501133786848,0.651862936762999,1.1,5
Pois. NMF,26.8389050728852,4.07644941986598,0.738690476190476,0.643104927783344,5.2,2
IFMF,34.9216781602947,6.58729718264836,0.645068027210884,0.566909380655721,1.8,2
MC-CF,32.2602716224899,4.92526454173954,0.664795918367347,0.576426570450086,2,5
Trunc. SVD,37.7347229269894,6.88232627602379,0.471655328798186,0.425992449987886,1,5
