Method,RMSE,rRMSE,AUROC,AUPRC,Iter,minRank
Pois. N-mix,28.6602821347699,3.77078253748704,0.74992193598751,0.692326799279631,1.3,5
Pois. NMF,30.5240857691514,4.01599987919996,0.632084309133489,0.634715312493301,31.9,10
IFMF,35.6271466752613,4.68740056053336,0.646994535519126,0.587171489095801,2,2
MC-CF,36.5555683637516,4.80955135702313,0.659875097580016,0.626871780107736,1.6,5
Trunc. SVD,40.5732517247934,5.33815083792598,0.455230288836846,0.450524424690981,1,15
