Method,RMSE,rRMSE,AUROC,AUPRC,iter,minRank
Pois. N-mix,351.007545536234,5.68071554853654,0.744646667410134,0.726379352868084,1,5
Pois. NMF,347.562113775733,5.68487508909665,0.708640756849188,0.711171432461842,11.1,10
IFMF,518.464426813052,10.1730578297495,0.634229458632269,0.620371618930183,1.5,2
MC-CF,433.62504250808,8.46666686474564,0.619760108050506,0.638649091763916,1.4,2
Trunc. SVD,694.66329163817,14.4265703168842,0.526335823947065,0.530654687778208,1,2
