Method,RMSE,rRMSE,AUROC,AUPRC,Iter,minRank
Pois. N-mix,524.421505011061,9.89614125882871,0.750207749766575,0.728004788902951,1.5,5
Pois. NMF,456.925157058725,8.6224456010252,0.734889900404606,0.712107732072194,1.5,5
IFMF,676.484042229434,12.7656504877784,0.631433239962654,0.615808225871503,2.6,2
MC-CF,610.150226360307,11.5138924919575,0.622450980392158,0.639802291115859,1.2,2
Trunc. SVD,813.375760887646,15.3488774761089,0.526198257080611,0.534919472480161,1,2
