Method,RMSE,rRMSE,AUROC,AUPRC,Iter,minRank
Pois. N-mix,205.25544578258,3.87329059963974,0.726853408029882,0.693026053739232,3.6,10
Pois. NMF,478.959768033689,9.03825162863457,0.620668378462496,0.641414727971745,33.3,10
IFMF,394.466600701677,7.44381602419496,0.573506847183318,0.581710247271771,3.6,5
MC-CF,314.709198492068,5.93874708411239,0.577448646125116,0.601971274822741,11.1,2
Trunc. SVD,813.375760887646,15.3488774761089,0.526198257080611,0.534919472480161,1,2
