Method,RMSE,rRMSE,AUROC,AUPRC,Iter,minRank
Pois. N-mix,518.765824241882,9.78941524688636,0.744317615935261,0.732597880783265,1,5
Pois. NMF,463.584715456901,8.74811537238283,0.725708839091192,0.708892609682591,11.1,5
IFMF,590.710092070897,11.1470457605014,0.631742919389978,0.625742039533811,1.5,2
MC-CF,503.196313103116,9.49560944356238,0.616413787737318,0.643811124840813,1.4,2
Trunc. SVD,813.375760887646,15.3488774761089,0.526198257080611,0.534919472480161,1,2
