0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,0,1,2,0,2,0,0,0,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,3,158,363,1530,1,2128,140,0,4,230,243,5,34,1644,1195,254,1650,7739,15,22500,13,141,38,810,12,3167,4,185,2,2,0,9,0,147,753,203,0,0,936,15,182,314,1060,1583,601,895,499,6,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,154,0,12,0,0,0,37,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
15,0,56,0,164,53,22,1,1,0,208,2,83,80,82,75,6,17,89,8,131,0,0,57,409,2,368,0,164,25,18,1,1893,59,63,0,223,0,0,72,25,0,11,1,437,8,217,25,14,1
6,0,0,0,0,0,3,0,2,0,83,6,34,0,0,0,34,175,11,4,95,0,0,0,17,3,17,0,24,0,0,0,19,12,140,0,0,0,0,0,4,0,29,16,150,39,0,0,13,2
5,0,0,0,0,4,5,1,0,0,0,2,9,4,13,7,0,4,20,0,53,0,0,0,75,0,3,0,5,7,0,0,115,2,8,0,0,0,0,0,0,0,3,0,162,58,0,0,0,0
43,7,84,0,2,28,107,0,35,2,946,2,1631,111,108,115,20,8,105,8,595,0,5,14,1790,74,367,0,712,154,31,9,2046,171,638,25,937,2,0,63,50,6,38,89,2048,338,37,45,148,1
2,36,27,11,2,21,158,0,2,0,21,0,40,3,6,226,60,7,30,0,130,0,0,19,1383,4,8,2,243,24,15,0,233,0,31,45,1,0,0,27,0,0,3,0,9,190,55,0,0,1
14,0,6,0,0,0,1,7,0,27,2,0,659,0,4,1,0,2,28,0,4136,0,0,0,0,13,23,28,66,5,25,64,8,19,1427,0,0,51,1,2,0,0,0,0,24,0,0,0,18,5
7,0,0,0,2,0,0,135,1,0,0,0,0,99,7,80,10,36,314,0,53,0,0,0,0,0,77,187,0,0,0,0,1,1,0,50,0,1,0,4,0,0,0,0,1,0,0,0,0,0
36,0,0,2,8,0,0,0,0,0,3,0,0,7,84,4,4,8,184,0,56,0,1,0,25,0,23,4,1,0,0,2,10,1,4,0,3,0,0,18,0,0,0,0,0,1,0,2,0,0
1,1,0,0,0,0,9,68,0,0,0,0,3,35,1,12,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,183,0,0,0,0,0,0,2,0,0,0,1
21,1,8,0,0,2,2,4,3,0,7,74,9,10,30,6,10,3,316,19,829,0,0,0,20,0,17,0,21,1,1,4,41,0,0,1,1,6,1,13,0,2,1,1,22,1,0,7,0,18
28,0,0,2,246,0,0,0,2,0,7,0,0,0,15,13,2,6,37,1,0,0,0,0,0,0,243,0,12,0,0,0,2,0,0,14,0,0,0,0,0,0,0,25,0,1,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,19,0,3,5,0,1,0,0,0,0,0,715,0,8,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
