8,"[64,32,16,8]",512,0.005,0.66855451,0.389428337,
8,"[64,32,16,8]",512,0.001,0.668503579,0.377103337,
8,"[64,32,16,8]",512,0.0005,0.684913553,0.360659026,
8,"[64,32,16,8]",512,0.0001,0.519105923,0.22990698,
8,"[64,32,16,8]",256,0.005,0.698885629,0.397595519,
8,"[64,32,16,8]",256,0.001,0.682866126,0.417211088,v
8,"[64,32,16,8]",256,0.0005,0.696705782,0.367541699,
8,"[64,32,16,8]",256,0.0001,0.60885996,0.270688589,
8,"[128,64,32,16]",512,0.005,0.635612327,0.337295139,
8,"[128,64,32,16]",512,0.001,0.658959106,0.348674195,
8,"[128,64,32,16]",512,0.0005,0.670133371,0.336234915,
8,"[128,64,32,16]",512,0.0001,0.55135884,0.231891797,
8,"[128,64,32,16]",256,0.005,0.707706882,0.364854943,
8,"[128,64,32,16]",256,0.001,0.677284086,0.391577376,
8,"[128,64,32,16]",256,0.0005,0.675277404,0.414195527,
8,"[128,64,32,16]",256,0.0001,0.665753304,0.35479364,
,,,,,0.417211088,
